*******************Nano Measurer 1.2.5*******************
********************************************************
==================Basic report==================
Total	127
Max./mm	9.50
Min./mm	0.58
Mean/mm	3.81
No.	Particle size/mm
1	1.04	
2	0.58	
3	1.94	
4	2.34	
5	1.58	
6	0.59	
7	1.69	
8	0.66	
9	2.07	
10	2.29	
11	2.10	
12	1.90	
13	1.49	
14	4.34	
15	5.45	
16	8.51	
17	2.64	
18	6.01	
19	2.67	
20	1.73	
21	2.73	
22	2.47	
23	2.72	
24	5.36	
25	1.42	
26	6.93	
27	2.33	
28	4.44	
29	4.59	
30	4.57	
31	6.26	
32	7.08	
33	6.51	
34	5.18	
35	7.16	
36	2.03	
37	5.00	
38	1.87	
39	8.08	
40	7.83	
41	5.05	
42	5.40	
43	7.62	
44	7.49	
45	9.50	
46	0.86	
47	1.42	
48	2.48	
49	2.45	
50	1.17	
51	1.50	
52	1.97	
53	4.11	
54	6.53	
55	6.76	
56	5.63	
57	5.77	
58	7.53	
59	1.44	
60	1.13	
61	1.51	
62	1.53	
63	1.74	
64	1.74	
65	2.51	
66	4.17	
67	2.26	
68	4.29	
69	1.42	
70	1.44	
71	3.01	
72	4.63	
73	5.16	
74	4.92	
75	3.10	
76	3.50	
77	3.14	
78	6.93	
79	6.26	
80	5.97	
81	1.36	
82	1.99	
83	2.17	
84	6.01	
85	4.23	
86	4.70	
87	5.82	
88	6.97	
89	8.42	
90	6.42	
91	2.23	
92	1.09	
93	1.94	
94	5.56	
95	4.65	
96	1.24	
97	5.06	
98	4.76	
99	1.94	
100	1.84	
101	4.83	
102	6.17	
103	4.63	
104	3.66	
105	6.40	
106	2.42	
107	5.95	
108	0.71	
109	5.61	
110	5.75	
111	3.61	
112	0.89	
113	0.96	
114	5.78	
115	0.72	
116	4.62	
117	3.55	
118	3.61	
119	3.56	
120	3.63	
121	3.54	
122	3.75	
123	3.92	
124	4.23	
125	3.70	
126	3.79	
127	3.82	
===============Statistical report===============
Distr./mm	Mean/mm	Amount	Freq.
0-1	.5	8	6.30%
1-2	1.5	28	22.05%
2-3	2.5	18	14.17%
3-4	3.5	16	12.60%
4-5	4.5	17	13.39%
5-6	5.5	17	13.39%
6-7	6.5	13	10.24%
7-8	7.5	6	4.72%
8-9	8.5	3	2.36%
9-10	9.5	1	0.79%
********************************************************
*****by Jie Xu, Fudan Univ. Email:shine6832@163.com*****
